x,y,학교,마트
126.963505817942,37.4770896313732,0,0
126.952695107942,37.4812845008265,0,0
127.094722999066,37.535118053119,0,0
126.896668349116,37.5258305232222,0,0
127.08630073432,37.5116083485804,0,0
126.902607283905,37.534773501406896,0,0
126.96448415944099,37.5597479688989,0,0
127.07383586044,37.5111302556967,0,0
126.914447288631,37.549901442065,0,0
126.923764988566,37.556863528146096,0,0
127.063020940329,37.5088119293814,0,0
127.04706653169,37.5698350860798,0,0
127.048948120105,37.5044937750958,0,0
126.852876007423,37.5202158982635,0,0
127.036460414211,37.5006600052986,0,0
127.027977657727,37.4980854411503,0,0
127.013863444681,37.4927359601279,0,0
126.997535255649,37.4814561264392,0,0
126.981549541445,37.4765532208396,0,0
126.941682007426,37.4824689098378,0,0
126.929740854865,37.4842644294274,0,0
126.913500702287,37.487641446009,0,0
126.901473089504,37.4852533671941,0,0
126.891307981962,37.5089048744726,0,0
126.894756202452,37.5179720940164,0,0
126.936962654548,37.555195456708894,0,0
126.946422762684,37.556803903823294,0,0
126.956132861047,37.5574025689432,0,0
126.846426169396,37.5322270449167,0,0
126.977181235023,37.565337284119295,0,0
126.982183995362,37.5660229020616,0,0
126.990967458779,37.5662761796769,0,0
126.997623004003,37.5666368996611,0,0
127.008987189553,37.5656454859141,0,0
127.019468475358,37.5656622427144,0,0
127.04361716382,37.5557087864257,0,0
127.04736917078299,37.5472379579492,0,0
127.056057944077,37.5445852156774,0,0
127.069202907348,37.540397606271696,0,0
127.086171769557,37.537160863174,0,0
127.103799674868,37.5206944003696,0,0
127.100215181119,37.5133092702048,0,0
127.050887278781,37.5621209757458,0,0
127.127537293281,37.550133857734,0,0
127.123919374783,37.5384968055586,0,0
127.120443701344,37.530193178362,0,0
127.112844983956,37.5178028959182,0,0
127.100215181119,37.5133092702048,0,0
127.106990485844,37.5054105299706,0,0
127.112184453853,37.4997113580808,0,0
127.118258210622,37.493092048704,0,0
127.12247582966899,37.4860238552656,0,0
127.126172045084,37.478631698139,0,0
127.126701394602,37.4707382891863,0,0
127.150073936897,37.4567993089902,0,0
127.159873536458,37.4516687091001,0,0
127.156763011663,37.4450233989513,0,0
127.147533584341,37.4409086355148,0,0
127.140520928805,37.437367182685286,0,0
127.129961399904,37.4340274873996,0,0
127.007644026196,37.491835518946,0,0
127.037078472459,37.5612611631671,0,0
127.029270145908,37.5644348647729,0,0
126.894926522974,37.4933027323738,0,0
127.024452169845,37.5760227613002,0,0
126.882635530518,37.5145008199738,0,0
126.865717870736,37.5123744505094,0,0
127.038262110343,37.5740549248114,0,0
126.9673196187,37.4739082924,0,1
126.9646664003,37.4811806718,0,1
126.9667485,37.47669631,0,1
126.962189377,37.4805318218,0,1
126.959938802,37.4767614837,0,1
126.9645739044,37.4812814257,0,1
126.9570431526,37.4828565554,0,1
126.956208422,37.4812805194,0,1
126.9572858226,37.4833652493,0,1
126.9515041931,37.4776443148,0,1
126.9501334623,37.484619622,0,1
127.0923022023,37.5370858965,0,1
127.091058344,37.5327912113,0,1
127.0907181036,37.5322091138,0,1
127.0903764543,37.5336515941,0,1
126.9018128001,37.5245933096,0,1
126.8913380449,37.5261691726,0,1
126.8963096106,37.5213956191,0,1
127.0826258776,37.5140784113,0,1
127.0843416156,37.5081946389,0,1
127.0881095783,37.5144307079,0,1
127.0889992,37.51028143,0,1
127.0879267608,37.5140884367,0,1
127.0875039998,37.515234165,0,1
127.0831488794,37.5140590048,0,1
127.0896517549,37.5101302298,0,1
126.900077112,37.5322852123,0,1
126.8988310561,37.5380430446,0,1
126.8992822959,37.5327611559,0,1
126.9065610226,37.5326093682,0,1
126.9656885851,37.5629222519,0,1
126.9651903811,37.5566720269,0,1
126.9641236763,37.5637006214,0,1
126.9632817628,37.5637660857,0,1
126.9641236763,37.5637006214,0,1
126.9666888265,37.5573884114,0,1
127.0738473,37.50945384,0,1
127.0738473,37.50945384,0,1
127.0752697907,37.507159255,0,1
126.9164756537,37.5474201572,0,1
126.9115986241,37.552775759,0,1
126.9243787,37.55488903,0,1
127.0620909652,37.5056543969,0,1
127.0620996101,37.5056537522,0,1
127.0610377079,37.5063995934,0,1
127.0634466353,37.5048826052,0,1
127.0436741924,37.572205573,0,1
127.0446920186,37.5730929568,0,1
127.0429290267,37.5685587446,0,1
127.0505632719,37.5732496431,0,1
127.0429290267,37.5685587446,0,1
127.0482866,37.50232303,0,1
127.0482866,37.50230289,0,1
127.0488741832,37.5015660902,0,1
126.8516767394,37.5243593279,0,1
126.8558364705,37.5171912709,0,1
126.8486092118,37.5206933964,0,1
126.8504602159,37.5237783909,0,1
126.8546042087,37.5167809245,0,1
126.8491521736,37.523193449,0,1
126.8538473785,37.5165725341,0,1
127.0252919017,37.4948520138,0,1
127.0248915,37.49904877,0,1
127.0238141673,37.498474381,0,1
127.0313118269,37.4945317295,0,1
127.0154245,37.49074049,0,1
126.9986764607,37.4847101004,0,1
126.9920259319,37.4809037118,0,1
127.00236607,37.4801668893,0,1
126.9791497414,37.4804643012,0,1
126.9843562764,37.4783329723,0,1
126.9364548016,37.4809160251,0,1
126.9425199003,37.4859243711,0,1
126.9425545,37.48102565,0,1
126.9432260718,37.486449304,0,1
126.9380235403,37.4812997407,0,1
126.9332725121,37.4812299368,0,1
126.9242866669,37.4848611767,0,1
126.930188294,37.488567102,0,1
126.9148407,37.48898483,0,1
126.9145663251,37.491573481,0,1
126.9103585659,37.4848645676,0,1
126.9025393,37.48734601,0,1
126.897213062,37.4880200772,0,1
126.8971873367,37.4879368991,0,1
126.8886533863,37.5058458426,0,1
126.8864365117,37.5102878328,0,1
126.8959945,37.5196596,0,1
126.8895562198,37.5193044271,0,1
126.8936057,37.51914038,0,1
126.897305526,37.5142620036,0,1
126.9392951,37.55498958,0,1
126.9392951,37.55491782,0,1
126.9339944199,37.5577092338,0,1
126.943620102,37.5601280351,0,1
126.9449935009,37.5610236881,0,1
126.945954938,37.5524889227,0,1
126.9492560314,37.5541362913,0,1
126.9480572,37.55795026,0,1
126.9459585704,37.5524972345,0,1
126.9412400018,37.5554833356,0,1
126.9505892905,37.5589762325,0,1
126.9412454435,37.5554358634,0,1
126.9594385089,37.5540198956,0,1
126.9546141461,37.5615864043,0,1
126.9544615,37.55909644,0,1
126.9544565,37.55909644,0,1
126.9524827176,37.5592983655,0,1
126.9546141461,37.5615864043,0,1
126.9565000215,37.55640071,0,1
126.9546141461,37.5615864043,0,1
126.9562422,37.5558319,0,1
126.8433265534,37.5353032741,0,1
126.8511566778,37.5321043636,0,1
126.9725169031,37.566005606,0,1
126.9750765346,37.5684658778,0,1
126.9717134251,37.5654976433,0,1
126.9957224857,37.5657264643,0,1
126.9969973,37.56557957,0,1
127.0003197249,37.5631170049,0,1
127.0139802594,37.5668748628,0,1
127.0130556088,37.5658322657,0,1
127.0114433,37.5658716,0,1
127.0114433,37.5658716,0,1
127.0108846305,37.5614969517,0,1
127.0231058245,37.5638997248,0,1
127.0159976545,37.5671647361,0,1
127.0223672833,37.5641276341,0,1
127.0147321311,37.5658144399,0,1
127.0176212734,37.5688044939,0,1
127.0160130929,37.5621733436,0,1
127.0248779922,37.5665617174,0,1
127.0411418,37.55526422,0,1
127.0419634,37.55455404,0,1
127.0485521373,37.5571353787,0,1
127.0478277174,37.5441113415,0,1
127.0496811941,37.5443244854,0,1
127.0478277174,37.5441113415,0,1
127.0513288223,37.5439847214,0,1
127.0613253243,37.5443938556,0,1
127.0584376775,37.5408271428,0,1
127.0577010554,37.5411891424,0,1
127.0524942834,37.5415656816,0,1
127.0736666746,37.5394119187,0,1
127.0723241706,37.5371475736,0,1
127.0697873425,37.5361581172,0,1
127.0648127741,37.5431620395,0,1
127.0711835976,37.5435864999,0,1
127.0713838006,37.5364855222,0,1
127.086169323,37.5326746024,0,1
127.0868064552,37.5409339171,0,1
127.081211864,37.537024829,0,1
127.0909885641,37.5371102076,0,1
127.0828242411,37.5405058946,0,1
127.0890940719,37.5335522625,0,1
127.0886809337,37.5340330345,0,1
127.0842188586,37.5330552458,0,1
127.0868065335,37.5409339136,0,1
127.1092464799,37.5202897911,0,1
127.0998000205,37.5184537729,0,1
127.1047786,37.52258587,0,1
127.1063968942,37.522832626,0,1
127.1004360382,37.5186467008,0,1
127.0989722363,37.5169210248,0,1
127.0958698358,37.5138996553,0,1
127.0965670006,37.5100375688,0,1
127.0999908649,37.5172155214,0,1
127.0503811961,37.5584674782,0,1
127.0475521466,37.562684096,0,1
127.0537607993,37.5607301103,0,1
127.1276192293,37.5465983378,0,1
127.1280303917,37.5543476703,0,1
127.1244044,37.55002367,0,1
127.1297332263,37.5470104523,0,1
127.1197395,37.53273562,0,1
127.117910567,37.5334913691,0,1
127.1197395,37.53273562,0,1
127.1170360466,37.5266873944,0,1
127.1225001,37.53135786,0,1
127.1164019587,37.5316113647,0,1
127.1113114,37.52010753,0,1
127.1132404716,37.5150352893,0,1
127.0989722363,37.5169210248,0,1
127.0958698358,37.5138996553,0,1
127.0965670006,37.5100375688,0,1
127.0999908649,37.5172155214,0,1
127.1052917864,37.5027550975,0,1
127.1106473184,37.5069401233,0,1
127.1074914437,37.501345754,0,1
127.1169720443,37.5017349562,0,1
127.1159751464,37.5009300131,0,1
127.1142413,37.50179413,0,1
127.1142413,37.50179413,0,1
127.1142413,37.50177714,0,1
127.1177184512,37.5001004811,0,1
127.1136055,37.4998119,0,1
127.1081197752,37.4999881307,0,1
127.1221970776,37.4917777736,0,1
127.1222806664,37.4913787729,0,1
127.1227482909,37.4901637792,0,1
127.1271895649,37.4882540005,0,1
127.1268503097,37.4853206147,0,1
127.1230208843,37.489896334,0,1
127.1263288685,37.4852517338,0,1
127.1279464,37.48058417,0,1
127.1285645296,37.4811081742,0,1
127.1292649052,37.48180196,0,1
127.1511215292,37.4528005739,0,1
127.1531886581,37.459838757,0,1
127.1626157832,37.4537625359,0,1
127.1554734027,37.4497228173,0,1
127.1585364641,37.4556670485,0,1
127.162099145,37.4493366126,0,1
127.1642036088,37.4515661055,0,1
127.1633746345,37.449286956,0,1
127.1577469,37.453611,0,1
127.1546258035,37.4483209492,0,1
127.1606844842,37.4480781409,0,1
127.1606135232,37.4432525907,0,1
127.1450510263,37.4447026973,0,1
127.1496107,37.43890676,0,1
127.1453058609,37.4372917269,0,1
127.1445875782,37.4374489827,0,1
127.1431872716,37.4349170483,0,1
127.1441153476,37.4352866233,0,1
127.1441153476,37.4352866233,0,1
127.1441153476,37.4352866233,0,1
127.1442512629,37.4362609259,0,1
127.1433147129,37.4337541636,0,1
127.1435588,37.43625492,0,1
127.1431872716,37.4349170483,0,1
127.1326516042,37.4361094016,0,1
127.1253555181,37.4362871621,0,1
127.1272377,37.43376609,0,1
127.1314146,37.43504295,0,1
127.1314146,37.43504295,0,1
127.0054119398,37.4896444564,0,1
127.0332344701,37.558556548,0,1
127.0414657665,37.5618112453,0,1
127.0402432468,37.5627500404,0,1
127.0344581564,37.5582833447,0,1
127.0317315528,37.5626860905,0,1
127.0414657665,37.5618112453,0,1
127.0352998717,37.5578364753,0,1
127.0247267903,37.5637783627,0,1
127.0241079573,37.5641856881,0,1
127.0280229802,37.5674925942,0,1
127.0296135,37.56327474,0,1
127.0335276832,37.5671147499,0,1
127.0270684334,37.5667663144,0,1
126.8914127221,37.4947324116,0,1
126.8955022629,37.4897981001,0,1
126.8993028516,37.493640259,0,1
126.8927802,37.49407053,0,1
126.895467682,37.4897244865,0,1
126.8956584362,37.4969780578,0,1
126.8916672779,37.4963088454,0,1
127.0253235,37.57795467,0,1
127.0281934293,37.5763945175,0,1
127.0253235,37.57795467,0,1
127.0235058017,37.5789695984,0,1
126.8844678401,37.5113259887,0,1
126.8837540995,37.518777643,0,1
126.8832546,37.51198439,0,1
126.8820838,37.51406292,0,1
126.8697760479,37.5123719123,0,1
126.8615537423,37.5099938581,0,1
126.8670434,37.51112797,0,1
126.8615221453,37.5100012037,0,1
126.8612963439,37.5106616604,0,1
127.0423029623,37.5728949527,0,1
127.0429457473,37.5739480705,0,1
126.9018412413,37.5246751205,1,1
126.8913380449,37.5261691726,1,1
126.8963096106,37.5213956191,1,1
126.8963096106,37.5213956191,1,1
126.9012504769,37.5310404183,1,1
126.905976257,37.5317243396,1,1
126.9668582538,37.5619444748,1,1
126.9657469404,37.5568320613,1,1
126.9666888265,37.5573884114,1,1
126.916106786,37.5479129733,1,1
126.9115986241,37.552775759,1,1
127.043011507,37.5722683945,1,1
127.0427877437,37.5721135736,1,1
127.0435349,37.5728684252,1,1
127.0432972473,37.5727737873,1,1
127.0482915806,37.5021887349,1,1
127.0482912005,37.5021769677,1,1
127.0488741832,37.5015660902,1,1
126.9425199003,37.4859243711,1,1
126.9423431926,37.4822794028,1,1
126.9432260718,37.486449304,1,1
126.9387692708,37.4825933141,1,1
126.9015984334,37.4867339015,1,1
126.897213062,37.4880200772,1,1
126.8971873367,37.4879368991,1,1
126.8884796178,37.5059982872,1,1
126.8886533863,37.5058458426,1,1
126.8864365117,37.5102878328,1,1
126.8863615745,37.5098136352,1,1
126.8867308761,37.5115025177,1,1
126.8963096106,37.5213956191,1,1
126.8959945,37.5196596,1,1
126.8936057,37.51914038,1,1
126.8973543218,37.5142919424,1,1
126.9727355244,37.5668539361,1,1
126.9750765346,37.5684658778,1,1
126.9767070442,37.5691888495,1,1
127.0172289609,37.5682923373,1,1
127.0180592264,37.568970668,1,1
127.0497354502,37.5432822208,1,1
127.0501837534,37.543473974,1,1
127.0507789375,37.5437366753,1,1
127.0497354502,37.5432822208,1,1
127.0507789375,37.5437366753,1,1
127.0514780693,37.5433373937,1,1
127.0579402939,37.5406381044,1,1
127.0571215043,37.5410238298,1,1
127.0524942834,37.5415656816,1,1
127.0736666746,37.5394119187,1,1
127.0723241706,37.5371475736,1,1
127.0697873425,37.5361581172,1,1
127.0713838006,37.5364855222,1,1
127.0998950575,37.5183705685,1,1
127.1003873064,37.5174889474,1,1
127.1003873064,37.5174889474,1,1
127.1012605366,37.5170828449,1,1
127.1005750023,37.5185444719,1,1
127.1012605366,37.5170828449,1,1
127.1008549227,37.5173870019,1,1
127.1012605366,37.5170828449,1,1
127.1008549227,37.5173870019,1,1
127.1003873064,37.5174889474,1,1
127.1000118206,37.516528168,1,1
127.0991113423,37.5169301423,1,1
127.1000118206,37.516528168,1,1
127.0991113423,37.5169301423,1,1
127.1012605366,37.5170828449,1,1
127.1008549227,37.5173870019,1,1
127.1008799254,37.5169156818,1,1
127.0999908649,37.5172155214,1,1
127.1008799254,37.5169156818,1,1
127.0999908649,37.5172155214,1,1
127.1003873064,37.5174889474,1,1
127.1000118206,37.516528168,1,1
127.0991113423,37.5169301423,1,1
127.1000118206,37.516528168,1,1
127.0991113423,37.5169301423,1,1
127.1012605366,37.5170828449,1,1
127.1008549227,37.5173870019,1,1
127.1008799254,37.5169156818,1,1
127.0999908649,37.5172155214,1,1
127.1008799254,37.5169156818,1,1
127.0999908649,37.5172155214,1,1
127.1220341054,37.4916802059,1,1
127.1220343998,37.4902519379,1,1
127.122160885,37.491297036,1,1
127.1219011645,37.4901598943,1,1
127.1220343998,37.4902519379,1,1
127.1222810011,37.4901936903,1,1
127.1219011645,37.4901598943,1,1
127.1221662817,37.4900287912,1,1
127.1272448261,37.4336198438,1,1
127.130427188,37.4339539586,1,1
127.130427188,37.4339539586,1,1
127.0054119398,37.4896444564,1,1
127.0414065538,37.5619099911,1,1
127.0402432468,37.5627500404,1,1
127.0414065538,37.5619099911,1,1
127.0340420928,37.5666330736,1,1
126.8867308761,37.5115025177,1,1
126.8844702102,37.5113256752,1,1
126.8840522278,37.5115290767,1,1
127.0427877437,37.5721135736,1,1
127.042302244,37.5728993492,1,1
127.0432972473,37.5727737873,1,1
127.0429457473,37.5739480705,1,1
126.8962961923,37.5220287484,1,0
126.8944736887,37.5268517281,1,0
126.9006669048,37.526818999,1,0
126.9036364545,37.531290402,1,0
126.9670346916,37.5589743773,1,0
126.9141147742,37.5504181307,1,0
127.0429278755,37.5721727527,1,0
127.0486938444,37.5018555583,1,0
127.0098136418,37.4915288077,1,0
126.9819812523,37.4740159373,1,0
126.9416704165,37.4843701781,1,0
126.8996974174,37.4848011347,1,0
126.8895257717,37.5091628842,1,0
126.8908135237,37.507939366,1,0
126.8953401641,37.5180995588,1,0
126.9759673215,37.5679124246,1,0
126.9796562972,37.5674586107,1,0
126.9784687595,37.5682552772,1,0
126.9821577316,37.5678013999,1,0
126.9865495382,37.5679281073,1,0
127.0204510856,37.568320266,1,0
127.0501837534,37.543473974,1,0
127.0545279208,37.542147575,1,0
127.0709175274,37.539100379,1,0
127.1036164321,37.516897771,1,0
127.1034163666,37.5184753943,1,0
127.1018242238,37.5132052322,1,0
127.1016241226,37.5147828732,1,0
127.1313177614,37.5512549213,1,0
127.12473132,37.5385707383,1,0
127.1081389232,37.5154521269,1,0
127.1079389632,37.5170297579,1,0
127.1018242238,37.5132052322,1,0
127.1016241226,37.5147828732,1,0
127.1052119315,37.5092558852,1,0
127.1180047288,37.4924152986,1,0
127.1201136259,37.4888812627,1,0
127.1286929861,37.4323304903,1,0
127.0067039911,37.4910785134,1,0
127.0375642864,37.5624728452,1,0
127.0336601691,37.564059753,1,0
127.0229428992,37.5735004938,1,0
126.8851896675,37.5119608522,1,0
127.0385255699,37.5742826049,1,0
